ID,Sana,Xizmat_turi,Sektor,Mintaqa,Kredit_ball,Yosh,Tajriba_yil,DSR,Joriy_kreditlar,Oldingi_default,Garov_sifati,Mulk_turi,LTV,Leverage,Foyda_stavkasi,Muddat_oy,Garov_qiymati_UZS,Moliyalash_UZS,Likvidlik,Kapital_ulushi,Sharia_audit,Gharar_darajasi,Maysir_ekspozitsiyasi,Halal_sertifikat,PLS_ulushi,Sharia_maslahatlari,Ijara_sertifikat,Sukuk_daraja,Volatillik,Inflyatsiya,YIM_osish,Valyuta_tebranishi,Sektor_osish,Bank_indeksi,Likvidlik_muhiti,Credit_LTV_ratio,Gharar_maysir,Risk_adj_ret,DSR_LTV,Macro_stress,Prev_default_rate,Sharia_adj_signal,PD,LGD,EAD_UZS,EL_UZS,VaR_95_kunlik,Sharpe_nisbati,Default
TXN-2024-0001,2024-08-02,Murabaha,Qishloq xo'jaligi,Andijon,689,46,1.7,0.5412,3,1,3,Moliyaviy aktiv,0.7366,1.734,0.1641,12,228523774,104190286,0.6195,0.4392,0.667,0.1016,0.072,1,0.6662,4,0,,0.1454,0.0908,0.0901,0.25,0.0454,1.0829,0.7646,934.1536,0.1736,1.1215,0.3986,0.2507,0.3332,0.5512,0.1029,0.45,104190286,4822539,-0.0151,0.2349,0
TXN-2021-0002,2021-08-17,Sukuk,Ishlab chiqarish,Boshqa,699,49,12.5,0.4563,3,0,5,Ko'chmas mulk,0.5436,1.959,0.1193,60,212381877,449989443,0.4419,0.3962,0.7879,0.1291,0.0186,1,0.5647,1,0,A,0.0796,0.0554,0.078,0.25,0.0737,1.0453,0.6022,1283.4777,0.1476,1.4788,0.248,0.2273,0.0,0.6716,0.0083,0.28,449989443,1042282,-0.0083,-0.1349,0
TXN-2021-0003,2021-02-21,Ijara,Savdo,Buxoro,692,32,0.5,0.6492,3,0,4,Ko'chmas mulk,0.8078,1.793,0.1078,84,269770981,252922165,0.66,0.2569,0.6877,0.1127,0.1789,1,0.6746,2,1,,0.0932,0.1244,0.0531,0.25,0.103,1.0104,0.6632,855.6032,0.2916,1.1452,0.5244,0.3214,0.0,0.4872,0.0556,0.35,252922165,4921119,-0.0097,-0.2377,0
TXN-2022-0004,2022-07-18,Musharaka,Qurilish,Samarqand,652,26,7.9,0.3342,1,0,1,Transport,0.4727,0.237,0.2448,84,924632359,117551117,0.5017,0.6,0.6967,0.1389,0.0589,1,0.2059,1,0,,0.3076,0.0837,0.0181,0.218,0.0554,0.9957,0.83,1376.5101,0.1978,0.7933,0.158,0.2836,0.0,0.5589,0.317,0.6,117551117,22355535,-0.0319,0.3733,0
TXN-2022-0005,2022-05-17,Murabaha,Savdo,Samarqand,628,46,16.2,0.2269,1,0,3,Transport,0.2846,1.298,0.0585,24,120610249,101097959,0.6118,0.6,0.8485,0.1293,0.018,1,0.2769,2,0,,0.1263,0.0905,0.0564,0.25,0.0511,1.1486,0.5467,2199.0303,0.1473,0.4593,0.0646,0.2841,0.0,0.7235,0.0375,0.45,101097959,1707103,-0.0131,-0.5659,0
TXN-2022-0006,2022-04-03,Murabaha,Ishlab chiqarish,Andijon,632,42,6.4,0.4441,1,0,1,Ko'chmas mulk,0.4288,0.571,0.1461,60,602642150,275908547,0.6525,0.05,0.6898,0.1756,0.3243,1,0.0452,0,0,,0.1508,0.0763,0.0462,0.102,0.0839,1.1466,0.3947,1470.3117,0.4999,0.9623,0.1904,0.132,0.0,0.345,0.2113,0.45,275908547,26229156,-0.0156,0.1066,1
TXN-2021-0007,2021-10-13,Murabaha,IT,Samarqand,628,39,3.5,0.2587,0,1,4,Ko'chmas mulk,0.5708,1.908,0.158,48,172599773,117438699,0.4017,0.6,0.5884,0.1096,0.2453,1,0.4835,3,0,,0.1065,0.0621,0.0659,0.2117,0.1015,1.1672,0.2854,1098.2708,0.3549,1.4692,0.1477,0.2079,1000.0,0.3796,0.0811,0.45,117438699,4286560,-0.011,0.2624,1
TXN-2021-0008,2021-07-29,Sukuk,Savdo,Samarqand,741,41,0.5,0.2478,5,0,3,Tovar,0.7974,3.548,0.0714,60,162403283,152420824,0.5402,0.4125,0.6781,0.2038,0.1637,1,0.1093,3,0,AA,0.0733,0.0909,0.0711,0.25,0.0078,1.1378,0.5551,928.0954,0.3674,0.9598,0.1976,0.2698,0.0,0.429,0.0212,0.28,152420824,906168,-0.0076,-0.7995,1
TXN-2024-0009,2024-10-17,Musharaka,Qurilish,Toshkent,695,41,15.2,0.6129,2,0,5,Ko'chmas mulk,0.4801,2.166,0.228,60,457887610,103774052,0.7163,0.4753,0.4528,0.285,0.0231,1,0.3939,1,0,,0.1812,0.1041,0.083,0.25,0.0357,1.0244,0.5414,1444.6673,0.3081,1.2519,0.2943,0.2711,0.0,0.3133,0.1396,0.6,103774052,8690878,-0.0188,0.5412,0
TXN-2024-0010,2024-01-22,Ijara,Ishlab chiqarish,Samarqand,395,50,3.8,0.591,2,1,4,Transport,0.5979,0.627,0.0893,120,160952609,100520915,0.3746,0.232,0.6955,0.1783,0.1818,1,0.5626,2,1,,0.0927,0.1083,0.0605,0.25,0.0435,1.0687,0.6008,659.5221,0.3601,0.9527,0.3534,0.2978,0.4998,0.4451,0.2166,0.35,100520915,7619430,-0.0096,-0.4393,0
TXN-2021-0011,2021-06-28,Murabaha,Ishlab chiqarish,Boshqa,700,50,0.5,0.3912,2,0,4,Transport,0.6232,0.582,0.2049,24,143381797,63039003,0.6233,0.2379,0.7745,0.0538,0.1376,1,0.5276,0,0,,0.1134,0.0905,0.057,0.2244,0.0549,1.0691,0.6575,1121.381,0.1914,1.7911,0.2438,0.2579,0.0,0.6262,0.0303,0.45,63039003,858661,-0.0118,0.6606,0
TXN-2024-0012,2024-04-24,Sukuk,Ishlab chiqarish,Toshkent,661,43,7.0,0.3897,2,0,5,Sanoat uskunasi,0.731,0.094,0.0919,60,352485771,386903733,0.4416,0.5453,0.8314,0.2343,0.0772,1,0.2154,1,0,AAA,0.0882,0.1169,0.05,0.25,0.0865,1.0485,0.5704,903.0489,0.3116,1.0308,0.2849,0.3169,0.0,0.5724,0.0122,0.28,386903733,1321271,-0.0091,-0.4317,0
TXN-2023-0013,2023-05-15,Ijara,Savdo,Samarqand,643,46,3.9,0.3911,0,0,4,Ko'chmas mulk,0.4345,1.389,0.1152,48,324875619,112549298,0.6953,0.2445,0.6383,0.093,0.1407,1,0.244,3,1,,0.0964,0.1384,0.0369,0.2351,0.0957,0.9446,0.6302,1476.5267,0.2338,1.183,0.1699,0.3366,0.0,0.4891,0.0337,0.35,112549298,1329081,-0.01,-0.1534,0
