xizmat_turi,mintaqa,sektor,kredit_ball,yosh,tajriba,oldingi_kreditlar,oldingi_defaultlar,moliyalash_miqdori,muddat_oy,foyda_stavkasi,ltv_nisbati,qarz_xizmat_nisbati,likvidlik,leverage,garov_sifati,sharia_audit,gharar_darajasi,maysir_ekspozitsiya,halal_sertifikat,bozor_volatilligi,yim_osishi,inflyatsiya,valyuta_tebranishi,neft_narxi,bank_indeksi,pd_qiymati,ead,lgd,kutilgan_zarar,default_holati,risk_darajasi,risk_kodi,xizmat_enc,mintaqa_enc,sektor_enc
Murabaha,Toshkent,Qurilish,689,25,7,5,2,99682,60,0.1224,0.6055,0.5699,0.622,0.7558,1,0.8132,0.205,0.1293,1,0.1707,0.067,0.136,0.0668,0.0786,0.1034,0.9734,130188,0.3206,40625,1,Juda Yuqori,3,1,5,3
Sukuk,Qashqadaryo,Eksport,728,52,2,2,0,190858,60,0.0882,0.6891,0.6137,0.848,0.521,4,0.6822,0.0806,0.0333,1,0.0957,0.069,0.1175,0.0539,-0.1251,0.235,0.1175,232946,0.2661,7285,1,O'rta,1,3,3,0
Ijara,Farg'ona,Xizmat,661,55,12,3,0,15394,60,0.1131,0.545,0.4528,0.8299,0.2037,2,0.5618,0.2702,0.0838,1,0.1213,0.0514,0.1164,0.0846,0.1172,0.1005,0.3422,19747,0.3153,2130,0,Yuqori,2,0,1,5
Musharaka,Qashqadaryo,Eksport,677,27,12,0,0,25687,60,0.2227,0.4822,0.3725,0.7961,0.8591,4,0.5542,0.2293,0.0598,1,0.2508,0.0714,0.0938,0.0286,-0.149,0.0025,0.4954,39991,0.542,10738,1,Juda Yuqori,3,2,3,0
Murabaha,Namangan,Qurilish,573,33,16,5,0,109576,24,0.1429,0.5949,0.2081,0.8562,0.8662,2,0.8101,0.1535,0.0174,1,0.1121,0.0625,0.1197,0.0459,-0.028,0.0521,0.2736,125237,0.6172,21148,1,Yuqori,2,1,2,3
Murabaha,Qashqadaryo,Eksport,648,36,21,4,0,93249,60,0.1383,0.4373,0.4897,0.4119,0.6092,4,0.55,0.3342,0.1598,1,0.1257,0.0708,0.1082,0.0633,0.1542,-0.1293,0.6746,125490,0.4875,41271,1,Juda Yuqori,3,1,3,0
Murabaha,Samarqand,Qurilish,593,48,3,2,0,113193,36,0.1429,0.7334,0.1425,0.9575,0.2923,4,0.8066,0.2571,0.4,1,0.1419,0.0758,0.0891,0.0379,-0.5007,0.0727,0.1584,137450,0.521,11344,0,O'rta,1,1,4,3
Sukuk,Farg'ona,Xizmat,609,49,14,2,0,49625,60,0.0457,0.7693,0.5982,0.5357,0.1491,5,0.8061,0.1161,0.0397,1,0.1129,0.044,0.0777,0.038,-0.1036,0.0964,0.1107,55295,0.2517,1541,0,O'rta,1,3,1,5
Musharaka,Farg'ona,Ishlab chiqarish,557,52,10,2,1,19663,120,0.2718,0.6021,0.2212,0.9002,0.1786,2,0.8113,0.1176,0.15,1,0.2573,0.0671,0.0932,0.0552,-0.0285,0.126,0.6878,46384,0.6043,19279,1,Juda Yuqori,3,2,1,1
Ijara,Qashqadaryo,Qishloq xo'jaligi,850,27,1,2,0,362633,84,0.1269,0.5545,0.508,0.7715,0.8855,3,0.8978,0.0973,0.1252,1,0.0922,0.0583,0.0971,0.0676,0.1483,0.0611,0.096,523723,0.384,19299,0,Past,0,0,3,2
Murabaha,Samarqand,Xizmat,631,62,8,3,0,50822,6,0.0813,0.7323,0.4943,0.6543,0.2152,3,0.9318,0.2224,0.2368,1,0.1621,0.0541,0.0758,0.0117,0.0961,0.0878,0.5712,51855,0.4614,13666,1,Juda Yuqori,3,1,4,5
Sukuk,Toshkent,Xizmat,602,25,7,4,0,34206,24,0.0532,0.52,0.563,0.7981,0.4507,2,0.8924,0.0563,0.2761,1,0.0178,0.0606,0.0433,0.0754,-0.0929,-0.0701,0.1646,36027,0.3483,2066,0,O'rta,1,3,5,5
Ijara,Buxoro,Eksport,612,54,22,1,0,30871,24,0.0699,0.5063,0.3091,0.8754,0.8417,1,0.856,0.1068,0.0512,1,0.1062,0.0574,0.0615,0.0121,0.0999,0.1239,0.2092,33028,0.3939,2722,0,O'rta,1,0,0,0
Murabaha,Toshkent,Savdo,623,53,5,2,0,13904,12,0.0999,0.2892,0.078,0.5716,0.6389,4,0.6791,0.4238,0.1582,1,0.0798,0.054,0.085,0.0274,-0.0848,0.049,0.1878,14598,0.3231,886,0,O'rta,1,1,5,4
Murabaha,Samarqand,Qishloq xo'jaligi,485,40,3,7,1,161865,6,0.0924,0.7598,0.298,0.7169,0.7184,5,0.632,0.3331,0.1147,1,0.196,0.0514,0.0978,0.0972,-0.141,-0.0671,0.8479,165604,0.4624,64924,1,Juda Yuqori,3,1,4,2
Murabaha,Farg'ona,Ishlab chiqarish,745,39,2,2,0,67637,36,0.1797,0.7041,0.2497,0.5656,0.7436,4,0.8174,0.2471,0.0585,1,0.106,0.0588,0.1048,0.0956,0.1807,0.0553,0.223,85868,0.4426,8475,0,O'rta,1,1,1,1
Murabaha,Namangan,Qishloq xo'jaligi,542,34,11,3,0,19295,24,0.0904,0.4684,0.5847,0.5775,0.6094,3,0.55,0.2484,0.2263,1,0.1384,0.0322,0.0923,0.0742,-0.0106,0.0756,0.8966,21039,0.4216,7952,1,Juda Yuqori,3,1,2,2
Musharaka,Qashqadaryo,Qishloq xo'jaligi,766,61,7,1,0,29259,120,0.3038,0.5271,0.2578,0.669,0.6235,1,0.8159,0.2952,0.2602,1,0.2841,0.063,0.0672,0.0583,-0.295,0.09,0.8423,73700,0.5947,36918,1,Juda Yuqori,3,2,3,2
Musharaka,Toshkent,Savdo,589,39,23,6,1,61222,12,0.2875,0.4746,0.5827,0.9755,0.8282,2,0.55,0.2564,0.1973,1,0.3091,0.073,0.0869,0.0311,-0.0755,0.1093,0.9882,70023,0.5717,39559,1,Juda Yuqori,3,2,5,4
