thr,f1,prec,rec,acc
0.1,0.6185044359949303,0.45269016697588127,0.976,0.5184
0.12000000000000001,0.6267880364109233,0.464354527938343,0.964,0.5408
0.14,0.6374501992031872,0.47713717693836977,0.96,0.5632
0.16000000000000003,0.6475409836065574,0.491701244813278,0.948,0.5872
0.18000000000000002,0.673352435530086,0.5245535714285714,0.94,0.6352
0.2,0.6774668630338734,0.5361305361305362,0.92,0.6496
0.22000000000000003,0.6858877086494689,0.5525672371638142,0.904,0.6688
0.24000000000000002,0.6844583987441131,0.5633074935400517,0.872,0.6784
0.26,0.6881028938906752,0.5752688172043011,0.856,0.6896
0.28,0.6864686468646864,0.5842696629213483,0.832,0.696
0.30000000000000004,0.684654300168634,0.5918367346938775,0.812,0.7008
0.32000000000000006,0.678082191780822,0.592814371257485,0.792,0.6992
0.3400000000000001,0.6747826086956522,0.5969230769230769,0.776,0.7008
0.3600000000000001,0.6771929824561403,0.603125,0.772,0.7056
0.38,0.6785079928952042,0.610223642172524,0.764,0.7104
0.4,0.6763110307414105,0.6171617161716172,0.748,0.7136
0.42000000000000004,0.6788321167883211,0.6241610738255033,0.744,0.7184
0.44000000000000006,0.6728971962616822,0.631578947368421,0.72,0.72
0.4600000000000001,0.6705202312138728,0.6468401486988847,0.696,0.7264
0.4800000000000001,0.6666666666666666,0.6501901140684411,0.684,0.7264
0.5000000000000001,0.6587771203155819,0.6498054474708171,0.668,0.7232
0.5200000000000001,0.656,0.656,0.656,0.7248
0.54,0.65439672801636,0.6694560669456067,0.64,0.7296
0.56,0.6597510373443983,0.6853448275862069,0.636,0.7376
0.5800000000000001,0.6511627906976745,0.6905829596412556,0.616,0.736
0.6000000000000001,0.6365591397849463,0.6883720930232559,0.592,0.7296
0.6200000000000001,0.618421052631579,0.6844660194174758,0.564,0.7216
0.6400000000000001,0.6133333333333333,0.69,0.552,0.7216
0.66,0.6090909090909091,0.7052631578947368,0.536,0.7248
0.68,0.6111111111111112,0.7252747252747253,0.528,0.7312
0.7000000000000001,0.6037735849056604,0.735632183908046,0.512,0.7312
0.7200000000000001,0.585956416464891,0.7423312883435583,0.484,0.7264
0.7400000000000001,0.5586034912718204,0.7417218543046358,0.448,0.7168
0.7600000000000001,0.5408163265306123,0.7464788732394366,0.424,0.712
0.7800000000000001,0.5091863517060368,0.7404580152671756,0.388,0.7008
0.8000000000000002,0.4823848238482385,0.7478991596638656,0.356,0.6944
0.8200000000000002,0.4676056338028169,0.7904761904761904,0.332,0.6976
0.8400000000000001,0.43023255813953487,0.7872340425531915,0.296,0.6864
0.8600000000000001,0.4166666666666667,0.813953488372093,0.28,0.6864
0.8800000000000001,0.34285714285714286,0.8307692307692308,0.216,0.6688
